專案名稱,關鍵字 號碼,關鍵字
國際森林經營及科技合作,"[6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 39, 41, 45, 46, 48, 52, 57, 60, 61, 62, 63, 64, 65, 66, 67, 76, 77, 78, 79, 81, 115, 141, 142, 146, 200, 206, 229, 230, 272, 315, 370, 400, 420, 421, 422, 426, 476, 491, 576, 629, 666, 672, 688, 755, 775, 776, 777, 781, 782, 783, 807, 835, 934, 935, 974, 1003, 1145]","Annual National Inventory Report, Biodiversity, Biodiversity Adaptation, Biwa Lake, Carbon Trading, Climate change, Climate Change, Conservation, COP21, Disaster risk assessment, FFPRI, Forest Certification, Forest Habitat, Forest Industry Cultural Park, Forest Industry Culture, Forest industry relics exhibition, Forest Management, Forest management unit level, Forest Therapy, Forest wetland, Forestry and Forest Products Research Institute, Forestry Carbon Sequestration, Green Infrastructure, Health promotion, International Society of Nature and Forest Medicine, Invasive Alien Species, Kyoto Protocol, Mountain lacustrine and palustrine, POMS, Recovery, Re-create, Recreation and Conservation conflict, Recreational Facilities, REDD+, Reducing Emissions from Deforestation and forest Degradation, Repurposing of Unused Space, Restoration, Taiwan beech, The profile of mood states, The Society of Forest Amenity and Human Health Promotion In Japan), Urban Natural Resources Stewardship, Wooden building preservation techniques, 山地湖沼, 日本國立森林綜合研究所, 日本森林保健學會, 木造建築保存技術, 台灣水青岡, 外來物種入侵, 生物多樣性, 生物多樣性調適, 再創造, 自然資源管理, 災害風險評估, 京都議定書, 林產業遺跡展示規劃, 林業文化, 林業文化園區, 林業碳匯, 保育, 恢復, 氣候變遷, 追求健康促進, 國家清冊計算, 國際自然暨森林醫學協會, 情緒狀態量表, 復原, 森林棲地, 森林經營, 森林經營水平, 森林濕地, 森林療癒, 森林驗證, 琵琶湖, 閒置空間再利用, 遊憩設施, 遊憩與保育衝突, 碳交易, 綠色基礎建設, 聯合國氣候變遷綱要公約第21次締約國會議"
高海拔山區草原生態系變遷調查 (2/2),"[268, 576, 642]","全球高山環境觀測研究計畫, 氣候變遷, 高海拔山區草原生態系"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(3/3)-台灣維管束植物的地理分布及氣候對亞熱帶雨林植物物候之影響,"[242, 282, 576, 772, 885]","生態系, 地理分布, 氣候變遷, 森林動態, 群落"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(3/3)-南仁山森林動態樣區之變化,"[199, 411, 448, 1042]","台灣, 季風, 物種轉換, 熱帶森林"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(3/3)-台灣水青岡森林片斷化研究,"[200, 229, 242, 274, 370, 375, 444, 447, 576, 611, 785, 885, 1068]","台灣水青岡, 生物多樣性, 生態系, 危險度, 災害風險評估, 災害潛勢分級, 物候變動, 物種分佈, 氣候變遷, 脆弱度, 棲地片斷化, 群落, 調適策略"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(3/3)-水青岡昆蟲相與水青岡森林片斷化關聯之研究,"[229, 445, 576, 784]","生物多樣性, 物種分布, 氣候變遷, 棲地片段化"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(3/3)-台灣維管束植物遺傳多樣性探討,"[200, 576, 785, 1105]","台灣水青岡, 氣候變遷, 棲地片斷化, 遺傳多樣性"
合歡山高海拔生態系長期監測之研究(2/2),"[638, 970, 1136]","高山植物, 監測, 環境變遷"
新糧食來源及緊急時期糧食增產制度之研究,"[854, 1158, 1168]","新糧食來源, 糧食安全, 糧食增產制度"
我國糧食生產與國民營養及消費關聯強化之研究暨糧食安全體系研究成果評析,"[668, 1122, 1158, 1163, 1164]","國產農產品消費, 營養與消費, 糧食安全, 糧食安全體系, 糧食自給率"
氣候變遷下農地調適策略與農地資源空間規劃之結合應用,"[576, 902, 903, 904]","氣候變遷, 農地脆弱度, 農地資源空間規劃, 農地調適規劃"
因應氣候變遷我國農作物保險推行模式之研究,"[335, 920, 921]","作物保險, 農業保險, 農業政策"
耐低溫大豆品種選育及栽培技術改進,"[104, 380, 564]","大豆, 育種, 栽培技術"
氣候變遷對蜜蜂行為影響及生產因應對策,"[576, 690, 1083]","氣候變遷, 授粉昆蟲, 養蜂技術"
因應氣候變遷之國際農業科技交流合作-抗、耐逆境水稻品種之開發(4),"[208, 267, 514, 632, 670, 748, 995, 1041, 1050]","外表型評估, 全球氣候變遷, 耐逆境基因, 逆境調適能力之水稻, 國際合作, 單一核?酸多型性, 種原評估/交換, 熱耐受性, 稻熱病/白葉枯病"
耐逆境牛樟、泡桐與雜交桉種原選拔與利用(4/4),"[186, 513, 1179, 1180]","牛樟, 耐逆境, 雜交泡桐, 雜交桉"
水稻種原耐熱性評估與利用,"[174, 518, 992]","水稻, 耐熱性, 種原"
小麥耐熱性種原評估,"[111, 828, 992]","小麥, 評估, 種原"
以米穀粉研發即食＆營養(漿糰)棒及其冷凍、復熱質地、消費適口性評估與改善,"[311, 1073, 1121]","米穀粉, 適口性, 營養棒"
以擠壓加工量產米香海鮮酥條技術之開發,"[311, 470, 742, 869, 1057, 1113]","米穀粉, 非油炸, 魚酥, 碎米, 蝦皮, 擠壓加工"
利用米穀粉生產素食高湯粉之研究,"[311, 606, 646, 817, 839]","米穀粉, 素食, 高湯, 發酵, 黃豆"
國產秈米於米粉絲之製作與加工應用,"[307, 311, 453]","米粉絲, 米穀粉, 秈米"
利用米穀粉進行冷凍裹油類麵糰加工技術開發,"[311, 346, 833]","米穀粉, 冷凍麵糰, 酥皮"
經兩段式發酵之芝麻粕與雞血之混合物於白肉雞飼料之應用,"[255, 457, 817, 1184]","白肉雞, 芝麻粕, 發酵, 雞血"
菇包殘基搭配盤固拉草製成供商業肉牛場使用青貯料之研究,"[728, 824, 1045]","荷蘭閹公牛, 菇包殘基, 盤固草"
選育高產優質飼料玉米品種-耐浸水飼料玉米品系之篩選與利用,"[211, 218, 512]","幼苗期, 玉米自交系, 耐浸水"
原生蔬菜非洲芥藍耐旱性評估及營養成分分析,"[471, 651, 992, 1117]","非洲芥藍, 乾旱, 種原, 營養成分"
北部地區環境親和型水稻與旱田作物輪作經營模式之建立,"[288, 322, 877, 1070, 1134]","安全農業, 低污染, 節能, 輪作, 環境親和型耕作制度"
環境親和型原生蔬菜繁殖與評估,"[550, 1132, 1141]","原生蔬菜, 環境親和型, 繁殖"
災後番荔枝果園之復耕技術研究及鳳梨釋迦果園防風栽培,"[392, 811, 1025]","防風栽培技術, 番荔枝, 鳳梨釋迦"
臺灣各茶區茶葉產製作業曆之調整與應用,"[345, 617, 1015]","作業曆, 茶, 臺灣"
因應氣候變遷森林生長環境脆弱指標及調適策略研究(4/4),"[92, 247, 455, 614, 771, 773]","土砂災害, 生態脆弱度, 空間資訊, 航遙測, 森林健康, 森林動態樣區"
養殖生產區進排水路查詢系統擴充及防災應變研究,"[368, 1053, 1082]","災害防救作業手冊, 線上查詢系統, 養殖漁業生產區"
節能設備應用於果菜生產之研究,"[109, 810, 877]","小胡瓜, 番茄, 節能"
主要糧食與蔬果之節能貯藏系統研發,"[348, 757, 1052]","冷藏, 普通貯藏, 窯洞貯藏"
耐逆境糧食作物先進育種國際研討會,"[125, 233, 269, 302, 380, 468, 513, 576, 1165]","分子標誌, 生物型逆境, 全球暖化, 次世代定序, 育種, 非生物型逆境, 耐逆境, 氣候變遷, 糧食作物"
氣候變遷之作物反應評估與減排調適策略研擬,"[342, 576, 1013, 1035, 1068]","作物模式, 氣候變遷, 臺美科技交流, 模式化模擬, 調適策略"
作物溫度逆境模擬試驗平台之建置,"[576, 860, 864]","氣候變遷, 溫室, 溫度逆境"
加拿大森林認證制度及APEC林業合作之研究,"[423, 576, 780]","林業合作, 氣候變遷, 森林認證"
因應氣候變遷以生物遺傳資源平台建置抗耐逆境優質水稻研究計畫,"[44, 181, 182, 232, 332, 576, 654, 670, 676, 995, 1075, 1105]","International Rice Research Institute, 水稻遺傳多樣性, 水稻營養價值, 生物性與非生物性逆境, 作物生產力, 氣候變遷, 健康水稻, 國際合作, 國際稻米研究所, 種原評估/交換, 適應氣候的水稻, 遺傳多樣性"
因應氣候變遷下水稻生產模式之開發及耐高夜溫優質稻米選育,"[264, 343, 640, 1046]","全基因組關聯研究, 作物機制模式, 高夜溫逆境, 稻米品質"
強化稻作生產技術國際合作以應對氣候變遷及提升糧食自給率(IRRI),"[174, 576, 630, 1164]","水稻, 氣候變遷, 逆境, 糧食自給率"
第二十三屆太平洋科學大會,"[503, 574, 1124]","科學, 氣候變化, 環境"
農業氣象觀測及資源整合,"[576, 579, 648, 923]","氣候變遷, 氣象災害, 高溫害, 農業氣象"
農業生態系長期生態研究與應用,"[1, 2, 7, 16, 50, 53, 59, 229, 239, 461, 576, 607, 915, 1079, 1189]","Agricultural Ecosystem, Agricultural Ecoystem, Biodiversity, Cultivation System, Long Term Ecological Research, Nutrient Budget, Rational Database Management System, 生物多樣性, 生產, 長期生態研究, 氣候變遷, 耕作制度, 農業生態系, 養分收支, 關聯式資料庫管理系統"
枯旱情境下農業用水管理調節機制,"[161, 174, 253, 576, 652, 874]","水庫枯旱供水操作, 水稻, 田間灌溉用水量, 氣候變遷, 乾旱預警系統, 節水灌溉"
三大洋台灣鮪釣漁業長鰭鮪漁況預報可行性分析,"[133, 273, 464, 576, 962]","太平洋, 印度洋, 長鰭鮪, 氣候變遷, 漁海況"
三大洋台灣鮪釣漁業劍旗魚漁況預報可行性分析,"[290, 577, 961, 967, 1152]","年間氣候變異, 氣候變遷影響, 漁況分析, 漁獲資料分析, 鮪釣漁業"
中西太平洋大型圍網漁業正鰹漁況預報可行性分析,"[118, 213, 576, 786, 787, 962, 1213]","中西太平洋, 正鰹, 氣候變遷, 棲地適合度指標, 棲地適合度指標(HSI), 漁海況, 鰹鮪圍網"
氣候及環境變遷下都市林病蟲害綜合管理之研究(1/4),"[576, 602, 738]","氣候變遷, 病蟲害管理, 都市林"
因應氣候變遷生物多樣性回復力之研究-維管束植物殘存地點分布與保育策略之分析,"[229, 538, 539, 576, 611, 767]","生物多樣性, 風險評估, 風險管理, 氣候變遷, 脆弱度, 森林生態系調適"
因應氣候變遷生物多樣性回復力之研究-以大白山至大南澳嶺與雙溪、頭城山區為例,"[200, 539, 576, 611, 1074]","台灣水青岡, 風險管理, 氣候變遷, 脆弱度, 適應性經營"
因應氣候變遷生物多樣性回復力之研究-以南仁山及槲櫟森林為例,"[482, 574, 611]","南仁山, 氣候變化, 脆弱度"
因應氣候變遷生物多樣性回復力之研究-以台灣水青岡與槲櫟森林的昆蟲為例,"[200, 229, 539, 576, 611, 784, 1074]","台灣水青岡, 生物多樣性, 風險管理, 氣候變遷, 脆弱度, 棲地片段化, 適應性經營"
「農業氣象觀測網?之強化與災防化,"[926, 927, 1000]","農業氣象觀測網, 農業氣象觀測網監控系統, 精緻化預報"
農業災害預警情資與損失評估整合系統,"[363, 366, 850, 918, 919, 920]","決策輔助系統, 災害地圖, 損失評估, 農業災害, 農業災害情網, 農業保險"
建構農業氣象研究人員培訓體系,"[501, 627, 923]","研討會, 訓練, 農業氣象"
建置主要食用作物氣象致災指標與栽培曆調整,"[84, 104, 111, 174, 217, 224, 388, 504, 563, 579, 888]","一般栽培作業曆, 大豆, 小麥, 水稻, 玉米, 甘藷, 防災栽培曆, 紅豆, 栽培作業曆, 氣象災害, 落花生"
建置重要經濟果樹致災臨界條件及因應氣候變遷之作物栽培曆,"[367, 433, 566, 896]","災害防治, 果樹, 栽培曆, 資料庫"
農林業災損經濟及脆弱度分析,"[376, 803, 908]","災害熱點, 無人飛機, 農林損害"
農作物災害早期預警及通報系統建置,"[365, 369, 906, 946]","災害, 災害保險, 農作物, 預警系統"
集水區潛在深層崩塌區位之劃定及管理(1/2),"[535, 703, 836]","風險分析, 深層崩塌, 集水區"
氣象災害對城鄉環境衝擊與綠色經濟調適策略分析及成效評估（1/2）,"[21, 91, 243, 1068]","EBA, 土地適宜性, 生態系服務, 調適策略"
鄉村社區產業現況與變遷調查及歷史氣象災害經濟損失評估（1/2）,"[579, 832, 883]","氣象災害, 鄉村社區, 經濟損失評估"
集水區環境資源和土地利用現況及變遷調查(1/4),"[90, 284, 579, 805]","土地利用變遷, 地質鑽探, 氣象災害, 無人載具"
農林山村土地崩塌潛勢分析與風險評估 (1/4),"[538, 683, 685, 898]","風險評估, 崩塌危險度, 崩塌潛勢, 資源承載量"
農林山村地區社經條件對自然危害風險承受與調適評估(1/4),"[387, 452, 715]","防災社區, 社經脆弱度, 產業結構"
山村農林業之生態經營對氣象災害調適策略之研究(1/4),"[150, 216, 469, 705]","水土流失, 永續經營, 非用材林產物, 混農林業"
城鄉土地承載力及產業資源空間配置整合研究(1/4),"[415, 489, 579, 765]","承載力, 城鄉地區, 氣象災害, 森林"
淹水逆境對葡萄裂果影響指標之建立,"[708, 827, 1098, 1175]","淹水逆境, 裂果, 膨壓, 轉色期"
鳳梨釋迦果園豪雨災害與焚風(高溫)落果指標建立與防範技術之研究,"[537, 706, 801, 887, 1025]","風險指標, 淹水, 焚風, 落果, 鳳梨釋迦"
園藝作物防（減）災技術研發及應用,"[55, 138, 386, 393, 465, 643, 700, 752, 797, 1077]","pear scions, 文旦, 防災, 防風網, 青蔥, 高接梨, 梨穗, 寒害, 減災, 遮雨棚"
芒果穩定生產之低溫預警體系之研究,"[324, 383, 569, 826]","低溫, 芒果, 氣候因子, 著果"
高接梨勘災技術、低溫逆境指標建置及調適策略研究,"[131, 283, 326, 578, 643, 804]","天然災害, 地理資訊系統, 低溫逆境, 氣象, 高接梨, 無人飛機載具"
北部地區柑桔類果樹寒害防護技術開發及應用,"[494, 752, 941]","柑橘, 寒害, 預防"
茶樹乾旱指標建置與減災調適,"[395, 617, 651]","防護, 茶, 乾旱"
毛豆災害預警體系建立及減災技術的研發,"[149, 159, 752, 798]","毛豆, 水害, 寒害, 減災技術"
防減紅龍果日燒傷害之研究,"[144, 396, 508]","日燒, 防曬, 紅龍果"
印尼大果種蓮霧冬果低溫寒害防減之研究,"[324, 548, 1054]","低溫, 凍傷, 蓮霧"
柑橘果實發育期旱澇災害產區之防範,"[494, 580, 651, 799, 1155]","柑橘, 氣象災害管理, 乾旱, 湛水, 叢枝菌根菌"
建置玉米及其病蟲害之致災氣象指標與防(減)災策略與措施,"[217, 220, 221, 394, 443, 524, 752]","玉米, 玉米褪綠斑駁病毒, 玉米薊馬, 防減災策略, 物候資訊系統, 致災氣象指標, 寒害"
柿霪雨災損臨界關鍵氣象指標建立與災害減損技術開發,"[372, 496, 1190]","災害減損技術, 柿, 霪雨"
梅雨對水稻穗上發芽影響程度指標與相關應對措施之建立,"[174, 924, 1137]","水稻, 農業氣象災害, 穗上發芽"
水稻秧苗期、分蘗盛期和幼穗分化期受水災災害之評估,"[128, 212, 603, 706]","分蘗盛期, 幼穗分化期, 秧苗期, 淹水"
水稻水、寒害災害指標建置及調適策略之開發-寒冷害,"[174, 395, 751]","水稻, 防護, 寒冷害"
水稻水害指標建置與防災技術之研究,"[174, 226, 706]","水稻, 生育期, 淹水"
果實保護資材於複合型氣象逆境的田間應用與推廣,"[405, 428, 429, 495, 568, 630, 924, 1064]","刺吸式口器害蟲, 果實保護資材, 果實保護劑, 柑橘類作物, 氣候, 逆境, 農業氣象災害, 複合型氣象逆境"
建立人為水稻災害試驗區災損評估技術,"[174, 511, 547, 579]","水稻, 耐旱特性, 倒伏, 氣象災害"
建立無人飛行載具於亞熱帶果樹生產監測與災害發生勘查基礎,"[131, 433, 713, 802, 1033]","天然災害, 果樹, 產量, 無人飛行載具, 影像"
模擬農作物災損影像判別技術研發,"[579, 802, 906]","氣象災害, 無人飛行載具, 農作物"
農業氣象災害前後無人機圖資取得及災損判釋技術發展,"[283, 339, 373]","地理資訊系統, 作物高度模型, 災害監測"
我國農林部門溫室氣體排放趨勢推估及減量影響評估研究,"[37, 135, 196, 576, 861, 862]","GHG, 巴黎協定, 可計算一般均衡, 氣候變遷, 溫室效應, 溫室氣體"
因應氣候變遷高溫與乾旱危害之水稻生長模式模擬研究─ MINCERnet2.0國際水稻合作研究計畫,"[174, 237, 277, 647, 651, 671]","水稻, 生長模式, 因應氣候變遷, 高溫, 乾旱, 國際合作研究"
因應氣候變遷以生物遺傳資源平台建置抗耐逆境優質水稻研究計畫(2/4),"[670, 676, 1075]","國際合作, 國際稻米研究所, 適應氣候的水稻"
強化稻作生產技術之國際連結以應對氣候變遷及提升糧食供應安全(IRRI),"[174, 231, 466, 576, 676, 1164]","水稻, 生物性逆境, 非生物性逆境, 氣候變遷, 國際稻米研究所, 糧食自給率"
因應氣候變遷下水稻生產模式之開發及耐高夜溫優質稻米選育(2/4),"[264, 286, 343, 640, 1046]","全基因組關聯研究, 多親本多世代互交品系, 作物機制模式, 高夜溫逆境, 稻米品質"
因應氣候變遷之養殖漁業產業調適與保險制度規劃研究,"[481, 576, 1081]","保險, 氣候變遷, 養殖漁業"
農委會農業菁英培訓計畫-氣候變遷對於植群分布之衝擊,"[573, 576, 796]","氣候範圍模式, 氣候變遷, 植群分布"
因應氣候變遷之溫帶果樹創新技術開發,"[418, 458, 697, 747, 895]","枇杷, 芽休眠打破, 梨, 創新栽培技術, 葡萄"
農業氣象之觀測及資源整合,"[576, 579, 651, 923, 1021]","氣候變遷, 氣象災害, 乾旱, 農業氣象, 豪雨"
臺灣植物紅皮書受威脅物種保育之研究,"[158, 446, 477, 480, 576, 594, 822, 993, 1016, 1186]","水社柳, 物種分布模式, 保育行動計畫, 保育優先次序, 氣候變遷, 烏來杜鵑, 紫苞舌蘭, 種原保存, 臺灣破傘菊, 瀕絕植物"
氣候變遷下的新世代植物保護劑：研發以內共生菌拮抗環境逆境之植物保護劑,"[121, 467, 791]","內共生菌, 非生物性逆境容忍, 植物保護劑"
南沙群島海域水產動植物資源調查及生態系統服務評估,"[164, 244, 479, 485, 499, 576, 585]","水產動植物資源, 生態系統服務, 保育價值, 南沙群島, 珊瑚礁, 氣候變遷, 海洋保護區"
極端降雨對臺灣山林崩塌災害風險與復育評估分析,"[685, 858, 1107]","崩塌潛勢, 極端降雨, 頻率分析"
土地利用變遷對水土資源涵養能力影響之關聯性分析,"[42, 75, 90, 169]","HSPF水文模式, ＳＷＭＭ水文模式, 土地利用變遷, 水資源涵養"
山村區域農林土地利用型態對水土資源保育影響之研究(1/3),"[89, 151, 169, 283, 684, 859]","土地利用型態, 水土資源保育, 水資源涵養, 地理資訊系統, 崩塌地, 極端氣候"
山村區域農林社經條件對氣象災害風險承受與調適評估(2/4),"[387, 452, 715]","防災社區, 社經脆弱度, 產業結構"
山村區域農林生態系複合經營對氣象災害調適策略之研究(2/4),"[150, 216, 469, 705]","水土流失, 永續經營, 非用材林產物, 混農林業"
城鄉土地承載力及產業資源空間配置整合研究(2/4),"[415, 489, 579, 765]","承載力, 城鄉地區, 氣象災害, 森林"
高溫對葡萄著果影響及預防策略之研究,"[647, 806, 826, 1029]","高溫, 無子果, 著果, 噴霧系統"
北部地區柑桔類果樹寒害指標建置與防護技術開發,"[493, 752, 941]","柑桔, 寒害, 預防"
水稻寒冷害指標建置與調適策略開發,"[174, 395, 751]","水稻, 防護, 寒冷害"
木瓜霪雨災害指標建置與減災技術開發,"[56, 259, 826, 1078]","photosynthetic photon flux density, 光合光通量密度, 著果, 遮陰"
印尼大果種蓮霧冬果低溫寒害之防減研究,"[324, 752, 1174]","低溫, 寒害, 覆蓋"
作物防(減)災技術應用之推播網絡建置,"[333, 579, 897]","作物生產技術, 氣象災害, 資通訊技術"
因應氣象災害高溫與乾旱危害之水稻生長模式模擬研究─ 水稻關鍵生育期高溫與乾旱危害之防減災調適策略及模式模擬,"[174, 237, 579, 647, 651, 671]","水稻, 生長模式, 氣象災害, 高溫, 乾旱, 國際合作研究"
建立無人飛行載具於亞熱帶果樹生產監測與災害發生勘查,"[131, 433, 713, 802, 1033]","天然災害, 果樹, 產量, 無人飛行載具, 影像"
無人飛行載具災損調查技術研發,"[639, 802, 918]","高光譜, 無人飛行載具, 農業災害"
農作物受損災情影像判識技術研發,"[579, 802, 906]","氣象災害, 無人飛行載具, 農作物"
作物生長模擬研究國際交流,"[576, 1013, 1035]","氣候變遷, 臺美科技交流, 模式化模擬"
因應氣候變遷高溫與乾旱危害之水稻生長模式模擬研究 ─ MINCERnet2.0國際水稻合作研究計畫(第2年),"[174, 237, 277, 651, 714, 1043]","水稻, 生長模式, 因應氣候變遷, 乾旱, 產量與米質, 熱溫"
因應氣候變遷下耐高溫稻米品種之開發及建立田間昆蟲種類資料庫(3/4),"[18, 264, 286, 649, 875]","DNA條碼, 全基因組關聯研究, 多親本多世代互交品系, 高溫逆境, 節肢動物"
農業水資源智慧調配及水稻節水與灌溉管理技術研究與推廣,"[47, 49, 68, 71, 72, 73, 137, 170, 179, 576, 608, 652, 707, 797, 837, 874, 1106, 1210]","KNN, k最近鄰居法, RF), SPI, SRI, SVM, 支撐向量機, 水資源智慧管理, 水稻強化栽培系統, 氣候變遷, 耕作試驗, 乾旱預警系統, 淹水災害, 減災, 雲端演算, 節水灌溉, 隨機森林, 灌溉管理技術"
南仁山欖仁溪森林動態樣區複查計畫,"[462, 574, 769]","長期監測, 氣候變化, 森林物種組成"
因應氣候變遷生物多樣性回復力之研究(3/3)-維管束植物殘存地點分布與保育策略之分析,"[229, 538, 576, 767]","生物多樣性, 風險評估, 氣候變遷, 森林生態系調適"
因應氣候變遷生物多樣性回復力之研究(3/3)-以大白山至大南澳嶺與雙溪、頭城山區為例,"[200, 539, 576, 611, 1074]","台灣水青岡, 風險管理, 氣候變遷, 脆弱度, 適應性經營"
因應氣候變遷生物多樣性回復力之研究(3/3)-以南仁山及槲櫟森林為例,"[478, 716, 723]","保育策略, 異地復育, 組織培養技術"
因應氣候變遷生物多樣性回復力之研究(3/3)-以台灣水青岡與 槲櫟森林的昆蟲為例,"[200, 229, 576, 784]","台灣水青岡, 生物多樣性, 氣候變遷, 棲地片段化"
重要經濟作物致災臨界指標驗證及災損脆弱度分析,"[336, 377, 579, 813]","作物栽培曆, 災害調適, 氣象災害, 發育物候"
城鄉土地承載力及產業資源空間配置整合研究(3/4),"[415, 489, 579, 765]","承載力, 城鄉地區, 氣象災害, 森林"
山村區域農林土地利用型態對水土資源保育影響之研究(2/3),"[42, 74, 89, 151, 169, 859]","HSPF水文模式, SWMM水文模式, 土地利用型態, 水土資源保育, 水資源涵養, 極端氣候"
農林山村地區社經條件對自然危害風險承受與調適評估(3/4),"[387, 452, 715]","防災社區, 社經脆弱度, 產業結構"
中部地區重要園藝作物災害指標建置及減災調適研究,"[131, 566, 647, 752, 797, 1023]","天然災害, 栽培曆, 高溫, 寒害, 減災, 颱風"
臺東地區番荔枝作物及水稻災害指標建置及減災調適研究,"[174, 456, 537, 811, 887, 1025, 1090]","水稻, 肥培管理, 風險指標, 番荔枝, 落果, 鳳梨釋迦, 機械傷害"
宜花地區農作物災害指標建置及減災調適研究,"[55, 138, 386, 393, 465, 643, 700, 752, 797, 1077]","pear scions, 文旦, 防災, 防風網, 青蔥, 高接梨, 梨穗, 寒害, 減災, 遮雨棚"
臺南區農作物災害指標建置及減災調適之研究,"[138, 145, 324, 383, 497, 706, 717, 810, 1076]","文旦, 木瓜, 低溫, 芒果, 洋香瓜, 淹水, 疏果, 番茄, 遮光"
高接梨及草莓防災體系整合建置,"[131, 578, 625, 630, 643]","天然災害, 氣象, 草莓, 逆境, 高接梨"
北部地區重要作物天然災害指標建置與調適技術開發,"[174, 494, 496, 567, 752, 834, 866, 1023]","水稻, 柑橘, 柿, 桃, 寒害, 鈣, 硼, 颱風"
高屏澎地區農作物災害指標建置及減災技術開發,"[145, 149, 798, 872, 924]","木瓜, 毛豆, 減災技術, 稜角絲瓜, 農業氣象災害"
南部地區重要果樹災害指標建置及減災研究,"[144, 324, 327, 506, 752, 1174]","日燒, 低溫, 低溫寒害, 紅斑, 寒害, 覆蓋"
香蕉、荔枝及柑橘作物災害指標建置及減災調適研究,"[546, 626, 696, 797]","香蕉, 荔枝, 桶柑, 減災"
因應氣象災害高溫與乾旱危害之水稻生長模式模擬研究─ 水稻關鍵生育期高溫與乾旱危害之防減災調適策略及模式模擬(第2年),"[131, 174, 237, 651, 673, 1043]","天然災害, 水稻, 生長模式, 乾旱, 國際研究合作, 熱溫"
中部地區重要果樹與水稻災害指標建置及減災調適研究,"[174, 371, 388, 433]","水稻, 災害氣象臨界值, 防災栽培曆, 果樹"
農作物受損災情影像判釋技術研發,"[579, 802, 906]","氣象災害, 無人飛行載具, 農作物"
農漁業健康環境形塑--運用客製化天氣與氣候資訊,"[899, 1027, 1032]","資源評估, 劍尖槍魷, 廣義線性模式"
網格化氣象資料運用於農業部門之研究,"[578, 911, 1009]","氣象, 農業, 網格化"
利用長期預報資料建立短期作物之蟲害管理模式,"[113, 390, 410, 553, 942]","小菜蛾, 防治曆, 夜蛾類, 害蟲監測, 預報"
利用長期預報資料進行觀賞花卉之花期預報,"[225, 347, 442, 1201, 1202]","生育度數, 冷需求, 物候期, 櫻, 櫻花"
因應氣候變遷高溫與乾旱危害之水稻生長模式模擬研究─ MINCERnet2.0國際水稻合作研究計畫(第3年),"[174, 237, 277, 647, 651, 714]","水稻, 生長模式, 因應氣候變遷, 高溫, 乾旱, 產量與米質"
因應氣候變遷-抗逆境水產品系研究,"[516, 880, 968, 1177]","耐寒, 經濟性狀, 漸近馴化, 雜交"
高解析度氣候模型建置及其在預測植群分佈與未來變遷之應用（1/4）,"[570, 576, 1037, 1106]","氣候降尺度模型, 氣候變遷, 潛在植群, 隨機森林"
氣候變遷下高易危的台灣水青岡生態系之調適、監測與保育研究(1/4),"[200, 539, 576, 611, 1074]","台灣水青岡, 風險管理, 氣候變遷, 脆弱度, 適應性經營"
以台灣水青岡和槲櫟森林的昆蟲為例(1/4),"[200, 229, 576, 784, 970]","台灣水青岡, 生物多樣性, 氣候變遷, 棲地片段化, 監測"
臺灣高海拔山區草原生態系調查與監測（1/3）,"[268, 576, 624, 636, 662]","全球高山環境觀測研究計畫, 氣候變遷, 草原植群, 高山, 動態樣區"
「農業氣象觀測及應用」手冊編撰計畫,"[664, 923, 1112, 1217]","參考手冊, 農業氣象, 應用, 觀測"
氣象災害影響下山村區域土地承載力及產業資源空間配置整合研究(4/4),"[415, 489, 579, 765]","承載力, 城鄉地區, 氣象災害, 森林"
山村區域農林土地利用型態對水土資源保育影響之研究(3/3),"[90, 98, 169, 685, 788]","土地利用變遷, 土壤滲漏計, 水資源涵養, 崩塌潛勢, 植生覆蓋"
農林山村地區社經條件對自然危害風險承受與調適評估(4/4),"[387, 452, 715]","防災社區, 社經脆弱度, 產業結構"
因應氣象災害高溫與乾旱危害之水稻生長模式模擬研究─ 水 稻關鍵生育期高溫與乾旱危害之防減災調適策略及模式模擬(第3年),"[131, 174, 237, 651, 673, 1043]","天然災害, 水稻, 生長模式, 乾旱, 國際研究合作, 熱溫"
農漁業健康環境形塑—運用客製化天氣與氣候資訊,"[899, 964, 1125]","資源評估, 漁業, 環境因子"
