計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
氣候變遷對太平洋及大西洋鮪延繩釣影響潛勢之研究,"[102, 103, 133, 464, 842, 1028, 1154]","大目鮪, 大西洋, 太平洋, 長鰭鮪, 黃鰭鮪, 劍旗魚, 鮪漁場學",漁業,漁業,本研究以太平洋及大西洋的鮪旗魚類為對象，分析環境因素對個別鮪魚系群之漁況與資源量變動的影響，並建構鮪類生態與環境結合的分析模式，以評估氣候與海洋環境變異可能帶來的衝擊，促進鮪旗魚資源的永續利用。擬完成之工作項目包括：(1) 太平洋及大西洋鮪旗魚漁場環境資料庫建立；(2)太平洋及大西洋鮪旗魚漁況及資源與環境變遷關係之解析；(3) 分析探討未來氣候變遷對遠洋鮪釣漁業產業或管理可能遭遇之問題。,"漁況, 分析, 系群, 解析, 遭遇, 模式"
氣候變遷對印度洋鮪類漁海況之影響分析,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學",漁業,漁業,大洋的海洋環境變動會受全球氣候變遷的影響而隨之改變，鮪旗魚類及其他海洋生物的分布與洄游環境因而受到影響，此等環境變動造成海洋生態的衝擊已是近年來魚類生態學者及社會關注的課題之一。＜?本研究擬以我國在印度洋鮪釣作業的主要經濟鮪類為對象研究印度洋鮪旗魚類漁場與海洋環境之長期變動特性，解析氣候變異(如印度洋震盪事件)造成海洋環境變動對鮪旗魚類之分布與漁況長期之影響，並針對不同氣候變遷情境模擬(A1B、A2和B1)之印度洋海洋環境資料，包含表水溫、海面高度以及水色資料，以解析氣候變遷所造成環境變動因素對主要經濟鮪旗魚類之漁況與資源量長期變動的影響，並建構鮪類漁場與環境變動結合的分析模式，以評估海洋環境變遷可能帶來的衝擊，以評估海洋環境變遷可能帶來的衝擊，探討產業或管理可能遭遇的問題。,"漁況, 解析, 情境, 水色, 研究, 海面"
重要棲地環境調查研究-臺灣周邊海域基礎生產力監測及湧升流漁業資源調查,"[166, 576, 679, 800, 937, 966, 1119]","水溫, 氣候變遷, 基礎生產力, 湧昇流, 過漁指數, 漁獲平衡指數, 營養位階",漁業,漁業,進行臺灣周邊海域之基礎生產力、葉綠素及營養鹽等資料實際採樣監測，以瞭解＜?季節變動狀況並計算臺灣周邊海域碳生產量。同時收集及解析漁獲統計資料數據與基礎生產力關係進行比對，並利用基礎生產力需求量、營養位階及漁獲平衡指數，以了解臺灣周邊海域沿近海漁業漁獲量之過漁指數變化趨勢。統合相關測量變數以評估氣候變遷之程度及對漁獲量之影響，並匯整相關調查之水文資料，根據葉綠素及營養鹽的相互關係解析臺灣湧昇流漁場消長程度及周邊海域地形性湧昇流變動情況以利了解湧昇流漁場的變動。利用湧昇流漁場的漁獲資料、主要漁獲魚種之營養位階與基礎生產力及總固碳量關係進行比對，以了解湧昇流漁場漁業漁獲量之過漁指數變化趨勢。解析氣候變遷對湧昇流漁場的變化影響與季節變動狀況，藉以建立臺灣周邊海域基礎生產力之長期變動數據，以及與漁業資源之關係。1.實際採集臺灣周邊海域之水樣以監測基礎生產力、葉綠素及營養鹽等資料，瞭解季節性變動狀況並計算臺灣周邊海域碳的生產量。2.收集及解析漁獲統計資料數據與基礎生產力關係進行比對，並利用基礎生產力需求量及漁獲平衡指數，以了解臺灣周邊海域沿近海漁業漁獲量之過漁指數變化趨勢。3.統合相關測量變數以評估氣候變遷之程度及對漁獲量之影響，同時匯整相關調查之水文資料，並根據葉綠素及營養鹽的相互關係解析臺灣湧昇流漁場消長程度及周邊海域地形性湧昇流變動情況以利了解湧昇流漁場的變動。4.利用湧昇流漁場的漁獲資料、主要漁獲魚種之營養位階與基礎生產力及總固碳量關係進行比對，以了解湧昇流漁場漁業漁獲量之過漁指數變化趨勢。5.解析氣候變遷對湧昇流漁場的變化影響與季節變動狀況，藉以建立臺灣周邊海域基礎生產力之長期變動數據，以及與漁業資源之關係。,"海域, 解析, 匯整, 總固碳量, 程度, 利用, 需求量, 水文"
氣候變遷對澎湖群島海洋生態系之衝擊及脆弱度評估,"[500, 576, 611, 998, 1039]","珊瑚礁生態系, 氣候變遷, 脆弱度, 管理策略, 澎湖群島",漁業,漁業,科學研究證實氣候變遷對地球環境以及人類的衝擊似乎無可避免，臺灣周邊海域環境也不例外，有鑑於澎湖海域為台灣周邊海域特有的海洋生態系統，存在沿岸與珊瑚礁等不同生態系統，在臺灣海峽海域水溫增溫暖化現象下，應是探討海洋生態系受全球氣候變遷影響之最適海域。據此，擬引用長期遙測水文及海洋生物資源、豐度與漁業經濟層面等資訊，掌握海洋珊瑚礁生態系完整性和服務功能，並透過政府間氣候變化委員會提出脆弱度評估建議，利用問卷調查與層級分析法（AHP）初擬海洋珊瑚礁生態系衝擊指標因子與脆弱度等級，藉以建立示範區脆弱度評估指標項目與模式之雛型，並提供建構完整澎湖海洋生態系脆弱度評估之建議，以供漁政主管單位未來在進行澎湖海洋生態系脆弱度評估長期規劃與利用的施政參考。,"海域, 利用, 完整性, 分析法, 珊瑚礁, 因子, 水文, 主管"
氣候變遷下廣泛分布樹種之選育與利用(4/4),"[576, 593, 678, 990, 1034, 1138, 1200]","氣候變遷, 烏心石, 培育苗木, 種子儲藏和發芽, 樟樹, 穗條嫁接, 櫸樹",森林及生物多樣性,"生物多樣性, 森林",氣候變遷將大大地影響森林組成和遺傳資源。一個族群有能力適應不同的環境需依賴此族群遺傳變異大小，樹種分布愈廣，遺傳變異愈大，其適應環境的潛能愈強。建立幾種廣泛分布且具經濟價值的樹種，研究分析不同種源對環境的適應能力，包括能忍受極端的氣候如高溫和乾旱，昆蟲或病菌的侵襲等是需要的。樹種更新需要種子，解除種子休眠和促進發芽，溫度是扮演一個重要的角色，如溫度增加會影響種子的發芽。本計畫目的選擇台灣廣泛分布之經濟樹種，烏心石、櫸樹和樟樹，進行精英樹種分布調查，採穗嫁接，並採集種子進行儲藏和發芽試驗。培育的嫁接苗木將種植野外和生長調查。這些栽種的嫁接苗不久將成為重要的林木採種園。,"嫁接苗, 族群, 病菌, 精英, 培育, 角色, 森林, 目的"
因應氣候變化之林業部門碳管理策略與效益分析(2/4),"[576, 776, 958]","氣候變遷, 森林經營, 態度",森林及生物多樣性,"生物多樣性, 森林",氣候變化已被世界各國所公認是前所未見的嚴峻挑戰。森林經由光合作用吸收並固定大氣中的二氧化碳，因此是大氣二氧化碳的吸收匯；透過造?與森?管理可增加吸收與貯存二氧化碳，故森林在氣候變化調適制度中扮演關鍵角色。本研究採用利用林業普查資料與問卷，調查私有林主的經營特性及參與森林碳管理策略的意願，分析影響私有林主參與碳管理策略的因素。＜?,"管理策略, 森林, 林主, 普查, 光合作用, 角色, 特性"
國際林業經營及科技合作計畫,"[147, 148, 187, 245, 246, 359, 421, 424, 425, 427, 575, 605, 675, 746, 774, 776, 778, 779, 999, 1126, 1144]","木博物館, 木頭之路, 世界植物學大會, 生態旅遊, 生態旅遊活動, 步道經營管理, 林業文化, 林業技術, 林業經濟, 林業觀光, 氣候變化綱要公約第19次締約國會議暨京都議定書生效後第9屆簽約國會, 紐西蘭保育部, 國際植群大會, 創意產業, 森林教育, 森林經營, 森林遊樂區, 森林碳, 管理資訊系統, 環境信託組織, 聯合國氣候變化綱要公約",森林及生物多樣性,"生物多樣性, 森林",(1)參訪美國密西西比三個不同經營型態的國家森林，探討導入新興遊憩活動的過程與森林遊憩經營型態轉變。(2)赴葡萄牙里斯本Estoril城市出席2012年國際林業研究機構聯合會第5組(林產組)全組大會並發表研究成果及收集相關資料。(3)參加國際植群科學大會第55屆會議，發表臺灣的外來植物調查成果。(4)出席聯合國氣候變化綱要公約第18屆締約國會議暨京都議定書第8屆締約國大會，收集最新林業碳匯(包括REDD、林業經營與碳交易)相關資訊，並完成林業碳匯最新國際發展趨勢報告。,"森林, 成果, 植物, 研究"
高海拔山區草原生態系變遷調查 (1/2),"[268, 576, 642]","全球高山環境觀測研究計畫, 氣候變遷, 高海拔山區草原生態系",森林及生物多樣性,"生物多樣性, 森林",本計畫擬進行全省五個目標區域的樣區野外複查、高山草本植群調查、文獻回顧、植物暖化反應的初步分群、樣區資料庫維護、教育訓練及野外資料初步分析等，今年度的具體工作目標為(1)完成雪山及奇萊合歡目標區域樣區野外複查；(2)收集高山植物各式基本資訊，包括物種辨識資料、植物標本、物種照片、棲地資料與分布資料等；(3)維護及擴張已建置之資料庫以管理調查及相關高山植物資料；(4)調查成果應用分析。此外，並將整合分析野外調查資料、文獻資料以及標本館資訊，提出高山植物之棲地需求與對於暖化的遷移反應之初步分群的評估。,"樣區, 分析, 分群, 植物, 草本, 照片"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(2/3)-台灣水青岡森林片斷化研究,"[229, 242, 444, 447, 576, 785, 885, 1068, 1105]","生物多樣性, 生態系, 物候變動, 物種分佈, 氣候變遷, 棲地片斷化, 群落, 調適策略, 遺傳多樣性",森林及生物多樣性,"生物多樣性, 森林",本計畫藉由實際案例之選取，包括水青岡的生育地片斷化、及植物地理分佈等大小尺度議題的探討，方法上兼顧實際的長期監測資料的比對，以及依據現況資料加以推測的方式，嘗試清查及評估目前台灣地區對氣候變遷可能較為敏感及具風險之物種、族群、動植物社會、及生態系。案例之選取主要以台灣水青岡林森林片斷化的研究，包括台灣水青岡林族群及動物族群（夸父綠小灰蝶）；亦期望能由案例之探討，瞭解在全球氣候變遷及其他環境干擾之下，各生物多樣性層次的變動、反應方式與時程變化外，作為未來監測氣候變遷影響、因應氣候變遷調適策略與作法之參考範例。今年的工作為：a.持續蒐集國內外氣候變遷相關之文獻並參考國內氣候變遷相關之計畫與研究，運用於本研究中並與本研究做比較b.森林分布與面積變化之調查，將各山頭航照圖以ArcGIS畫出分布範圍分析其歷年變化；c.集前人文獻的氣候歷史資料或購買氣候站資料，分析歷年的氣候變化、侵台颱風和路徑做探討；d.整合銅山長期動態樣區，分析族群新增率、死亡率和氣候之影響；繼續監測蘭崁山、大白山永久樣區並於稜線上枯死族群設立臨時樣區調查，探討其死亡機制並赴阿玉山附近之族群做樣區調查；e.整合各地區樣區資料，並以暴露度(exposure)、敏感度(sensitivity)、適應能力(respond)評估各地區微地形、氣候、干擾與植物相互作用後的脆弱度。????同時也檢討在探討氣候變遷時對生物多樣性風險與脆弱度評估時，國內過去以來相關研究監測的資料內容、方法規範及收集頻度之優缺點。此外再依據正在進行的「建立氣候變遷對生物多樣性風險與脆弱度評估模式及因應策略規劃」計畫，所提出之初步氣候與生物互動關係與模式，以物種、族群、群落及生態系的角度，進一步加以檢測。同時也在該基礎上檢討既有的生物多樣性保育政策、策略與管理措施，進而規劃風險管理，確保台灣豐富的生物多樣性的維護及永續利用。,"族群, 樣區, 案例, 研究"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(2/3)-台灣維管束植物的地理分布及氣候對亞熱帶雨林植物物候之影響,"[242, 444, 576, 772, 885]","生態系, 物候變動, 氣候變遷, 森林動態, 群落",森林及生物多樣性,"生物多樣性, 森林",本年度將分析福山森林植物在群落及族群層級上，年間的氣候變化對於植物開花、結果量的影響為何，而不同種植物對於氣候變化反應之差異，是否與植物間的親緣關係有關？意即親緣關係較近的植物，其開花量或結果量是否與氣候因子有類似的相關性。除親緣關係外，本計畫也將分析不同植物生活型或功能性狀的差異能否解釋物種間表現的差異。這些分析將能幫助我們了解氣候變化對於不同植物類群的影響是否有所不同，如果有差別，又是哪個類群的植物比較容易受到氣候變遷的影響。??? 本計畫藉由探討植物物候變化與氣候的關係，以野外長期監測資料，嘗試評估目前氣候變遷對於台灣森林植物物候所帶來的可能影響為何。亦期望能由案例之探討，瞭解在全球氣候變遷及其他環境干擾之下，各生物的反應方式與時程變化，作為未來監測氣候變遷影響、因應氣候變遷調適策略與作法之參考範例。同時也檢討在探討氣候變遷時對生物多樣性風險與脆弱度評估時，國內過去以來相關研究監測的資料內容、方法規範及收集頻度之優缺點，同時也在該基礎上檢討既有的生物多樣性保育政策、策略與管理措施，確保台灣豐富的生物多樣性的維護及永續利用。,"植物, 類群, 物候, 分析"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(2/3)-南仁山森林動態樣區之變化,"[199, 411, 1042]","台灣, 季風, 熱帶森林",森林及生物多樣性,"生物多樣性, 森林",本計畫為了因應全球的趨勢及聯合國永續會所倡議的方針，並考量到台灣在探討氣候變遷相關資源之現況條件，選取較切合氣候變遷的議題來探討及評估其對生物多樣性之影響，包括森林交會帶、森林動態樣區、森林物種的物候等的變化、森林片斷化及物種生育地片斷化對植群或是族群所造成的的影響、全台灣維管束植物的地理分布受氣候變遷的衝擊評估等。從小尺度及大尺度兩方向著手，內容涵蓋基因多樣性、物種多樣性及生態系多樣性三個層次。本細部計畫所探討議題及擬解決的問題如下1. 南仁山永久樣帶森林動態研究：永久樣帶建立於1994年，為跨越熱帶及亞熱帶的森林交會帶（榕楠林帶及楠櫧林帶），目前正在進行的第二次調查，以探討在氣候變遷之下的森林交會帶的物種及群落的變動情況（物種及生態系多樣性層次）。2. 南仁山欖仁溪永久樣區森林動態研究：建立於1989年，歷經1991、1997、2005及2013年的第四次調查，以族群、物種及群落的變動及與環境變遷的相關性為探討議題（物種及生態系多樣性層次）。本細部計畫藉由森林動態樣區之長期變化的實例探討南仁山區森林動態樣區與樣帶之物種組成及森林結構之變化，與樣區內各物種之族群動態以了解物種之風險度，同時檢討當這些台灣過去及現有之資源，當運用在氣候變遷對生物多樣性風險與脆弱度評估的議題上時，其資料內容、監測項目、監測方法、監測頻度、分析方法是否足以應用，其優缺點為何，同時也比對於國外之資料及評估分析方法及結果。,"森林, 族群, 群落, 分析方法, 尺度, 楠櫧, 樣區, 物候"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(2/3)-水青岡昆蟲相與水青岡森林片斷化關聯之研究,"[229, 447, 576, 784]","生物多樣性, 物種分佈, 氣候變遷, 棲地片段化",森林及生物多樣性,"生物多樣性, 森林",1. 棲地面積大小與物種多樣性息息相關。近年來，全球氣候變遷及氣候的極端化現象已經使棲地產生顯著的變化，在國內首當其衝的便是如台灣水青岡之類的珍貴溫帶孑遺森林。專食性昆蟲的生存與棲地面積大小的關係密切，森林一但破碎化便會威脅某些專食性昆蟲的延續。本研究即針對台灣水青岡昆蟲相進行調查，篩選出可反映台灣水青岡森林破碎化程度的指標物種，以作為監測水青岡森林良痞的基礎。,"森林, 食性, 良痞, 程度, 研究"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究(2/3)-台灣維管束植物遺傳多樣性探討,"[200, 201, 576, 785, 1105]","台灣水青岡, 台灣冷杉, 氣候變遷, 棲地片斷化, 遺傳多樣性",森林及生物多樣性,"生物多樣性, 森林",目前研究已知全球氣候變遷造成許多生物與環境狀態的改變，如物種遷移、物候期推移、生態系平衡改變與極端氣候的發生等，導致許多稀有、特有及脆弱的生物族群面臨棲地縮減與族群孤離的壓力。為了因應全球的趨勢及聯合國永續會所倡議的方針，同時考量台灣目前可探討氣候變遷相關資訊之現況條件，本計畫擬利用台灣已蒐集之長期植物標本與野外調查資料，檢視原生維管束植物的地理分布情形，選取中海拔的台灣水青岡及高海拔的台灣冷杉為代表物種，利用不同地區族群之遺傳多樣性分析，比較不同大小族群間的遺傳多樣性及遺傳結構差異，探討其與冰河期後歷經氣候暖化、族群遷徙、隔離與生育地片斷化的影響，進而討論氣候變遷與生物多樣性的互動關係。,"族群, 海拔, 冰河期, 蒐集, 生物, 植物, 利用"
野生植物監測研究-時空動態監測及敏感度評估,"[117, 269, 283, 419, 621, 770]","干擾, 全球暖化, 地理資訊系統, 林下植物, 草本層, 森林界線",森林及生物多樣性,"生物多樣性, 森林",本研究擬1. 收集並彙整臺灣地區森林的底層調查資料以建林下植物名錄；2. 進行植群分析以了解干擾環境及原始林林下物種組成及數量；3. 完成100種林下植物特性資料收集並分析其對干擾的敏感程度；4. 瞭解高海拔森林時間與空間性之林分長期動態；5. 探討森林空間變異與氣候變遷之關聯性；6. 評估森林界線之變化與推移速率。研究成果期能為自然環境與生態保育的經營管理上，提供有效的幫助。,"森林, 期能, 分析, 速率, 特性, 海拔, 程度"
合歡山高海拔生態系長期監測之研究(1/2),"[638, 970, 1136]","高山植物, 監測, 環境變遷",森林及生物多樣性,"生物多樣性, 森林",台灣是東南亞地區是上次冰河後研究高山植物好地方。最近研究顯示全球暖化發生於台灣則台灣高山植物將會有遷移的現象，會有相當多的物種往更高的地區移動，最後導致至少6 種植物種的滅絕(Chou et al. 2011)。??? 本研究針對台灣高海拔地區生態系之高山植物加以探討。先調查高海拔地區之高山植物種類，並建立物種名錄。再探討高山植物海拔之族群消長現象，以期建立高海拔地區高山植物之群聚資料，並監測環境變化之影響。瞭解環境變遷對於合歡山地區高山植物之影響，選擇合歡山區調查高山植物組成結構，建立高山植物與環境因子之基本資料並探討其間關係，期能作為監測環境變遷之參考。,"海拔, 研究, 期能, 族群, 地方"
建構因應經貿自由化我國糧食安全體系之研究,"[878, 1158, 1159, 1162, 1163]","經貿自由化, 糧食安全, 糧食安全分級管理體系, 糧食安全策略地圖, 糧食安全體系",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",2006年至2008年之糧食價格巨幅成長，引起世人對於糧食供給與糧食安全之關注。受全球人口成長、新興國家經濟成長、氣候變遷、能源價格上漲等因素影響，世界糧食供需失衡風險提高，世界各國均重視此問題，並採取相關因應措施。我國針對此問題亦十分重視，並將糧食安全提升為國安層級，並召開跨部會小組會議，研擬因應對策。行政院農業委員會於2010年6月起陸續召開「因應氣候變遷農業調適政策會議」、「全國農業與農地研討會」與「全國糧食安全會議」，並獲致多項建構糧食安全體系之共識。面對全球加速經貿自由化及區域整合之國際情勢，我國農業面臨高度挑戰，農業面臨市場進一步開放之壓力，糧食安全恐將進一步受到威脅。有鑒於此，應通盤檢視現階段我國糧食安全相關體系與運作情形，面對高度自由化之國際發展，建構因應經貿自由化的糧食安全體系，作為採取糧食安全應變與因應對策之研判依據，以維護我國糧食安全。本計畫之目標為建構因應經貿自由化我國糧食安全體系，以確保我國之糧食安全。,"高度, 部會, 全球, 巨幅, 自由化, 行政院, 研判, 世界, 供需, 世人"
我國糧食安全預警系統發布與應變機制之規劃研究,"[278, 946, 1158, 1161]","因應策略, 預警系統, 糧食安全, 糧食安全指標",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本研究之研究目的有二，其一是由於我國在面對全球自由化以及快速區域整合的國際情勢下，農業市場面臨進一步開放之壓力，糧食安全恐將受到進一步的威脅。為提前因應相關可能之困境，如何建置因應貿易自由化下的糧食安全體系，以落實我國糧食安全應變處置與預警機制，實為一相當重要之課題。除此之外，是否能透過定期發布我國糧食安全情報，並提供更充分的糧食安全資訊，以提升決策效能來維護我國糧食安全之穩定性，則為本研究目的之二。??? 本研究最終目的是希望可以：瞭解主要農業國家和組織，有關糧食安全預警系統與機制作法，以及資訊揭露與發布方式。瞭解我國景氣對策信號之內涵。獲知我國糧食安全預警資訊，提供對應的處置策略。研析並建構糧食安全情況資訊揭露與發布方式、對象與時間等。,"自由化, 研究, 目的, 研析, 方式, 作法, 效能, 困境"
具提升自給潛力農產品之經濟效益與擴大消費之研究,"[881, 1156, 1158, 1164]","經濟效益, 擴大消費, 糧食安全, 糧食自給率",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",為提升我國糧食自給率，擴大國產農產品之需求與消費，進行提升我國糧食自給率作物之經濟效益評估，從消費面分析具需求導向的產品、具外銷潛力產品，在搭配政策配套作為下，引導及鼓勵農民生產，提升對國產農產消費，進而促進糧食自給率之提升。本計畫對「糧食安全」施政規劃及對策實施之參考有其重要性及必要性，俾利規劃因應自由化建構糧食安全體系，確保我國糧食安全，維護國家農業永續發展。本計畫之目標為提升我國糧食自給率，擴大國產農產品之需求與消費。,"自由化, 重要性, 作物, 分析, 政策"
氣候變遷下農地調適之策略與推動模式研究,"[281, 576, 900, 903]","地方調適, 氣候變遷, 農地, 農地資源空間規劃",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",氣候變遷對於台灣的海島環境影響顯著，考量因應氣候變遷與糧食安全議題，如何在農地資源受海平面上升、暴雨、乾旱、洪水、高低溫、風災等災害影響下，逐步落實推動農地調適策略，並建置持續而定期之監控管理措施極為重要。故本研究擬延續推動氣候變遷調適之執行機制與管理措施等研究成果，納入地方環境與發展特性，研擬整體性地方調適作為，並與在地公私領域參與者透過互動過程凝聚共識，以強化參與者面對氣候變遷之調適能力，期藉由縣級推動小組與調適熱點工作坊、深度訪談之操作，強化地方政府在推動氣候變遷下農地調適策略之工作架構與措施，以達妥善維護農地資源之目的。整體計畫目標包括：(1)延續102年度執行縣級推動小組之操作模式，進行調適熱點工作坊操作，以強化地方研擬農地調適策略之工作能力，並建立具體之操作手冊，提供後續參考。(2)整合農地資源空間規劃、農地資源分級劃設、氣候變遷農地調適策略擬定之作業方式。透過以上兩個目標的達成，期望能提升台灣農地資源在因應未來氣候變遷衝擊之能力。,"工作坊, 措施, 能力, 地方, 故本"
高屏地區稻作農民對氣候變遷的風險知覺與調適策略之研究,"[536, 576, 1068]","風險知覺, 氣候變遷, 調適策略",因應氣候變遷及糧食安全,"因應氣候變遷, 糧食安全",擬透過本計畫探討高屏地區稻作農戶對於氣候變遷的認知的程度、面對的態度及風險管控的做法，以擷取具推廣價值之運作模式，作為未來輔導之參考。＜?重要工作內容：(一)實施地點：高屏水稻產區。(二)資料收集：文獻收集及專家、產銷班、生產者訪談。(三)問卷調查：以資料收集為基礎，設計問卷進行調查。(四)調查對象：高屏水稻產區、產銷班、生產者。預期效益：建構因應氣候變遷之創新管理技術與制度的推廣與輔導策略。,"水稻, 稻作, 管控, 效益, 模式, 策略, 制度, 程度, 管理"
國際糧食安全機制研究,"[1158, 1167, 1169]","糧食安全, 糧食援助, 糧食儲備",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本計畫目標將透過掌握國際糧食生產狀況、糧食市場價格與波動趨勢、國際糧食儲備機制發展與動態，研擬我國推動AFERM倡議之相關策略方案，以確保我國在APEC糧食安全議題上之參與，並有助於提升亞太區域糧食安全。????本計畫內容將蒐集與更新資料，包括全球糧食生產與發展趨勢，如全球主要穀物（如小麥、稻米、玉米、雜糧）的生產量、消費量、貿易變動、庫存量、價格變化；其次為國際糧食儲備機制發展與動態，研析我國推動糧食安全機制之相關策略建議。 ??? 本計畫之預期效益是，將依據研究資料，彙整並提出我國糧食安全機制之相關策略建議，以確保我國糧食安全。,"策略, 蒐集, 研析, 全球, 稻米, 效益, 方案"
建構糧食安全體系所需基礎統計資料蒐集制度之研究,"[190, 287, 449, 665, 724, 829, 851, 920, 930, 936, 1157, 1161, 1164]","主要糧食消費, 存貨調查, 直接給付, 國內供給分配, 統計制度, 貿易自由化指標, 損耗, 農業保險, 農業經營主體, 運銷通路, 糧食平衡表, 糧食安全指標, 糧食自給率",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本計畫之研究目的有三：(1)掌握稻米民間庫存，精確估算稻米消費水準，作為研訂改進稻米產銷及進口政策之參考。(2)瞭解本國傳統食物供需情形，供作規劃農業生產目標、資源投入分配等之參考。(3)盤點檢討國內統計現況，篩選適合我國國情之相關資訊及指標。為達到上述目的，本年度計畫重要工作項目為：(1)辦理稻米民間庫存資料蒐集之研究，並蒐集各級糧商之稻米庫存變動等資料。(2)試編適合國內生產之傳統食物糧食自給率，蒐集及解析進出口商品之加工層次，重新分類並依加工階段重新評估進出口價值。(3)界定農業經營主體等相關資料之蒐集方法與制度規劃，並蒐集補充相關統計資料。,"蒐集, 稻米, 食物, 加工, 供作"
糧食安全應變機制與策略-因應氣候變遷農業天然災害保險之機制與策略,"[912, 1089, 1158]","農業天然災害保險, 機制與策略, 糧食安全",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本計畫將以高接梨為承保作物，完成其國內歷年災損資料分析，並參考分析中國、日本相關作物保險之資料，完成其天然災害保險範圍之規劃、費率估算與理賠計算方式之試算等，並擬訂主要保單條款草案，對風險分散規劃案及保險經營型態機制提出建議。,"分析, 草案, 作物, 方式"
因應氣候變遷之水稻抗白葉枯病新品系篩選,"[174, 256, 416]","水稻, 白葉枯病, 抵抗性篩選",因應氣候變遷及糧食安全,"因應氣候變遷, 糧食安全",為開發具有白葉枯病抵抗性良好之水稻新品種，培育自IRRI引進水稻品種計30個材料、本場分子輔助回交導入白葉枯病抗性基因組合及200個各試驗場所高級品系材料，進行剪葉接種白葉枯病的抗感性檢定。利用IRRI之水稻白葉枯病檢定流程與外表型調查評估系統，進行本土白葉枯病菌株之接種以篩選具良好抗性之品系材料，以提供各試驗場所抗性材料種原之育種及命名之參考。,"抗性, 材料, 品系, 水稻, 抵抗性, 剪葉, 菌株, 感性"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究- 海藻飼料化應用研究,"[589, 741, 948]","海藻, 魚, 飼料",因應氣候變遷及糧食安全,"因應氣候變遷, 糧食安全",近年來全球氣候變遷，造成穀物減產，使畜禽飼料價格節節上升，飼養成本的增加已成為永續經營上的重要挑戰。本計畫為開發飼料海藻潛力之多元化飼料原料，希望以源頭管制方法進行漁產品衛生安全監控，期能減少對進口飼料原料的依賴，穩定生產成本，推動國土利用，以節碳的在地生產與利用之生產模式，增加飼料自給率。本試驗先前使用酵素水解馬尾藻粉添加於飼料中餵養豹鱠試驗。實驗顯示可有效改善豹鱠腸道菌相及增加魚體健康。在增重率、飼料轉換率、每日成長率及體重、BMI、肥滿度、體長，各項指數皆優於未添加馬尾藻組，顯示於飼料中添加馬尾藻有利於魚類之成長。本年度利用複合性酵素水解馬尾藻添加於飼料中，希望能提昇魚體免疫能力並開發本土飼料與優質配方，降低進口原料衝擊且提昇飼料效率。,"酵素, 水解, 利用, 期能, 節碳, 免疫能力, 畜禽, 海藻, 配方"
氣候變遷對台灣高海拔地區野生動物指標類群族群變動之影響,"[199, 462, 492, 637, 660, 856, 971, 1020, 1056, 1059, 1142]","台灣, 長期監測, 指標物種, 高山地區, 動物相, 楚南氏山椒魚, 監測模式, 蜥蜴類, 蝙蝠類, 蝴蝶類, 繁殖鳥類",因應氣候變遷及糧食安全,"因應氣候變遷, 糧食安全","台灣因為長期隔離演化的結果，高海拔山區擁有許多特有種類的野生動物，是台灣獨特而珍貴的生物資源。為蒐集因應環境變遷與氣候暖化的影響下，台灣高海拔山區野生動物物種與組成之變動趨勢的相關資料，本計畫以合歡山區及其周邊範圍海拔超過2,000m的地區為主要研究區域，選擇樣區以固定方法進行長期監測工作，期建立指標類群族群變化的監測模式。我們主要以物種分類清楚，種數適當，生物族群數量及分布變遷較容易調查的哺乳類、鳥類、爬蟲類、兩生類和蝴蝶等類別，選擇其具代表性之指標物種，如小型哺乳動物(蝙蝠類)、繁殖留鳥、特有種爬蟲類、山椒魚和高山蝶類，進行不同季節之物種組成、相對數量、分布範圍、棲地(微棲地 )利用等的野外調查工作，同時收集當地的環境氣象資料，來探討動物物種與環境間之相互關係。長期而言，本研究將由多年收集累積的資料，瞭解高海拔野生動物變動趨勢，以探討生物與環境之相關性外，結果將對台灣高海拔山區之特有物種或生態系之保育與經營管理有相當的助益。","海拔, 族群, 山椒, 蒐集, 樣區, 類群, 生類, 生物, 助益"
